title,url,time_added,tags,status
https://www.schneier.com/blog/archives/2020/04/security_and_pr_1.html,https://www.schneier.com/blog/archives/2020/04/security_and_pr_1.html,1586013153,privacy|security,archive
Nederland krijgt coronavirus-app - Achtergrond - Tweakers,https://tweakers.net/reviews/7798/nederland-krijgt-coronavirus-app-maar-wat-doen-andere-landen.html,1586357292,covid-19,archive
The Viral ‘Study’ About Runners Spreading Coronavirus Is Not Actually a Stu,https://www.vice.com/en_us/article/v74az9/the-viral-study-about-runners-spreading-coronavirus-is-not-actually-a-study?fbclid=IwAR2SOundjw3tduBBGzdEt_fa-Q4qso3J1GmoqeE1BrhbTZCsfGs9xnAEJt0,1586506455,covid-19,archive
https://www.upgrad.com/blog/data-science-vs-decision-science-which-one-you-should-choose/,https://www.upgrad.com/blog/data-science-vs-decision-science-which-one-you-should-choose/,1620647825,,archive
https://tweakers.net/reviews/7696/veelbelovende-technologie-voor-de-emissieloze-economie.html,https://tweakers.net/reviews/7696/veelbelovende-technologie-voor-de-emissieloze-economie.html,1587805192,,unread
Me on COVID-19 Contact Tracing Apps - Schneier on Security,https://www.schneier.com/blog/archives/2020/05/me_on_covad-19_.html,1588667058,covid-19,archive
Love Bug's creator tracked down to repair shop in Manila - BBC News,https://www.bbc.com/news/technology-52458765,1588676394,security,archive
"The Confessions of Marcus Hutchins, the Hacker Who Saved the Internet | WIR",https://www.wired.com/story/confessions-marcus-hutchins-hacker-who-saved-the-internet/,1592302370,security,archive
https://www.parool.nl/nederland/de-nederlandse-oversterfte-is-ongekend-gevolg-van-beleid~b2e8f7df/,https://www.parool.nl/nederland/de-nederlandse-oversterfte-is-ongekend-gevolg-van-beleid~b2e8f7df/,1589371424,covid-19,archive
http://www.creative-council.nl/actueeldetail/column-er-is-hoop-voor-de-grote-maatschappelijke-uitdagingen,http://www.creative-council.nl/actueeldetail/column-er-is-hoop-voor-de-grote-maatschappelijke-uitdagingen,1589905473,agencies|agile|covid-19|product management,archive
Three Principles for Designing ML-Powered Products | Spotify Design,https://spotify.design/article/three-principles-for-designing-ml-powered-products,1619447947,ai|product design,archive
http://lea.verou.me/2020/05/todays-javascript-from-an-outsiders-perspective/,http://lea.verou.me/2020/05/todays-javascript-from-an-outsiders-perspective/,1590564951,dev|webdesign,archive
https://piccalil.li/blog/cube-css/,https://piccalil.li/blog/cube-css/,1679179815,,unread
https://signal.org/blog/looking-back-as-the-world-moves-forward/,https://signal.org/blog/looking-back-as-the-world-moves-forward/,1591614150,,archive
https://mxb.dev/blog/the-return-of-the-90s-web/,https://mxb.dev/blog/the-return-of-the-90s-web/,1677652999,,archive
The Zendesk Triple Diamond. It’s common to think of the user… | by Mike Che,https://medium.com/zendesk-creative-blog/the-zendesk-triple-diamond-process-fd857a11c179,1653299516,design process,archive
https://digifloat.io/blog/get-free-illustrations-images/,https://digifloat.io/blog/get-free-illustrations-images/,1666037530,,unread
The Security Value of Inefficiency - Schneier on Security,https://www.schneier.com/blog/archives/2020/07/the_security_va.html,1625490895,economics|efficiency|security,archive
Celebrate Failures as Much as The Successes,https://www.strategyzer.com/blog/celebrate-failures-as-much-as-successes,1597059870,,unread
https://blog.haschek.at/2020/the-encrypted-homelab.html,https://blog.haschek.at/2020/the-encrypted-homelab.html,1617824004,,unread
What Functional Leaders Should Know About Scenario Planning,https://www.gartner.com/smarterwithgartner/what-functional-leaders-should-know-about-scenario-planning,1716916049,,unread
The UX of LEGO Interface Panels – George Cave,https://www.designedbycave.co.uk/2020/LEGO-Interface-UX/,1596571122,,archive
https://gizmodo.com/this-algorithm-might-make-facial-recognition-obsolete-1844591686,https://gizmodo.com/this-algorithm-might-make-facial-recognition-obsolete-1844591686,1597502442,ai|security,archive
Product Leadership: through a sea of constraints | by Georgie Smallwood | A,https://medium.com/@georgiesmallwood/product-leadership-through-a-sea-of-constraints-1c9b6c1f88e6,1598256494,product management,archive
https://www.mattblaze.org/blog/neinnines/,https://www.mattblaze.org/blog/neinnines/,1606596161,,archive
The Alignment Problem | Brian Christian,https://brianchristian.org/the-alignment-problem/,1660562156,,unread
https://www.bbc.com/worklife/article/20200929-how-major-life-events-impact-our-long-term-wellbeing,https://www.bbc.com/worklife/article/20200929-how-major-life-events-impact-our-long-term-wellbeing,1663868257,,archive
"What’s your coronatype: conformist, relaxed, vigilante? | Het Parool",https://www.parool.nl/english/what-s-your-coronatype-conformist-relaxed-vigilante~b8158f6e/,1602775811,covid-19,archive
Meet the new owners of Clearleft | Clearleft,https://clearleft.com/posts/meet-the-new-owners-of-clearleft,1625651951,agencies,archive
Quick Guide to Sustainable Design Strategies | by Leyla Acaroglu | Disrupti,"https://medium.com/disruptive-design/quick-guide-to-sustainable-design-strategies-641765a86fb8#:~:text=Sustainable%20design%20is%20the%20approach,that%20enables%20the%20Circular%20Economy",1602601099,,unread
https://www.groene.nl/artikel/ze-zijn-hier-zo-lekker-aan-het-witwassen,https://www.groene.nl/artikel/ze-zijn-hier-zo-lekker-aan-het-witwassen,1609014770,,archive
https://www.volkskrant.nl/columns-opinie/in-de-crisis-bleek-vadertje-staat-onze-belangrijkste-reddingsboei~bf8a600f/,https://www.volkskrant.nl/columns-opinie/in-de-crisis-bleek-vadertje-staat-onze-belangrijkste-reddingsboei~bf8a600f/,1603563881,covid-19|politics,archive
Unsupervised NLP : Methods and Intuitions behind working with unstructured ,https://towardsdatascience.com/unsupervised-nlp-methods-and-intuitions-behind-working-with-unstructured-texts-b84aa4d286da,1619611304,machine learning|nlp,unread
https://thoughtbot.com/blog/tailwind-versus-bem,https://thoughtbot.com/blog/tailwind-versus-bem,1678746904,,archive
https://www.ftm.nl/artikelen/de-heren-achter-de-complot-media,https://www.ftm.nl/artikelen/de-heren-achter-de-complot-media,1604579496,media,archive
An illustrated guide to artificial intelligence | ThoughtWorks,https://www.thoughtworks.com/insights/blog/illustrated-guide-artifical-intelligence,1611060828,,unread
Want to Reduce Fear of AI? | Accenture,https://www.accenture.com/us-en/blogs/federal-viewpoints/want-reduce-fear-ai,1619115168,ai|service design,archive
https://clearleft.com/posts/dashboards-a-design-discussion,https://clearleft.com/posts/dashboards-a-design-discussion,1607350424,,archive
De slag om de Nieuwmarktbuurt - Gemeente Amsterdam,https://www.amsterdam.nl/nieuws/achtergrond/slag-nieuwmarktbuurt/,1606852606,amsterdam|history,archive
We read the paper that forced Timnit Gebru out of Google. Here’s what it sa,https://www.technologyreview.com/2020/12/04/1013294/google-ai-ethics-research-paper-forced-out-timnit-gebru/,1607352161,,archive
"De 'slimme stad' lijkt vooral nog dom, dood en ongeorganiseerd - Achtergron",https://tweakers.net/reviews/8448/all/de-slimme-stad-lijkt-vooral-nog-dom-dood-en-ongeorganiseerd.html,1607330910,,archive
https://www.rockingrobots.nl/case-medewerkers-zwitserleven-kunnen-leuker-en-zinvoller-werk-doen-dankzij-rpa/,https://www.rockingrobots.nl/case-medewerkers-zwitserleven-kunnen-leuker-en-zinvoller-werk-doen-dankzij-rpa/,1607540958,,archive
The veteran spyplane too valuable to replace - BBC Future,https://www.bbc.com/future/article/20201210-lockheed-u-2-spyplane,1607721871,,archive
"Persuasion Is Essential to Society and Democracy, but We Need New Rules Gov",https://foreignpolicy.com/2020/12/11/big-tech-data-personal-information-persuasion/,1609231545,,archive
https://www.bellingcat.com/resources/2020/12/14/navalny-fsb-methodology/,https://www.bellingcat.com/resources/2020/12/14/navalny-fsb-methodology/,1611180215,,archive
"Use OKRs to Set Goals for Teams, Not Individuals",https://hbr.org/2020/12/use-okrs-to-set-goals-for-teams-not-individuals,1678099917,management|okr,archive
The US has suffered a massive cyberbreach. It's hard to overstate how bad i,https://www.theguardian.com/commentisfree/2020/dec/23/cyber-attack-us-security-protocols,1611393345,security,archive
https://smallstep.com/blog/build-a-tiny-ca-with-raspberry-pi-yubikey/,https://smallstep.com/blog/build-a-tiny-ca-with-raspberry-pi-yubikey/,1617823720,,unread
https://signal.org/blog/cellebrite-and-clickbait/,https://signal.org/blog/cellebrite-and-clickbait/,1608751279,privacy|security,archive
Opinion: The SolarWinds hack is stunning. Here's what should be done - CNN,https://edition.cnn.com/2021/01/05/opinions/solarwinds-hack-what-should-be-done-schneier/index.html,1611393714,internet|security,archive
https://www.thecut.com/2021/01/the-only-strategy-left-for-democrats.html,https://www.thecut.com/2021/01/the-only-strategy-left-for-democrats.html,1610658035,politics,archive
https://fivethirtyeight.com/features/the-polices-tepid-response-to-the-capitol-breach-wasnt-an-aberration/,https://fivethirtyeight.com/features/the-polices-tepid-response-to-the-capitol-breach-wasnt-an-aberration/,1610133277,politics,archive
Geschiedenis en onderzoek leert: deplatformen van extreme communities werkt,https://tweakers.net/reviews/8590/geschiedenis-en-onderzoek-leert-deplatformen-van-extreme-communities-werkt.html,1610565731,,archive
https://www.wholegraindigital.com/blog/vw-low-carbon-website/,https://www.wholegraindigital.com/blog/vw-low-carbon-website/,1620738935,,archive
https://www.wired.co.uk/article/bill-gates-interview-climate-crisis,https://www.wired.co.uk/article/bill-gates-interview-climate-crisis,1613510046,,archive
https://www.groene.nl/artikel/kuchje,https://www.groene.nl/artikel/kuchje,1613855156,media,archive
Wat is public design en wanneer kan ik het gebruiken | Public design | Comm,https://www.communicatierijk.nl/vakkennis/public-design/wat-is-public-design,1653299878,,archive
Four causes for ‘Zoom fatigue’ and their solutions | Stanford News,https://news.stanford.edu/2021/02/23/four-causes-zoom-fatigue-solutions/,1614257109,psychology|werk,archive
NASA's Mars Parachute Had a Hidden Code. Meet the People Who Cracked It. - ,https://www.nytimes.com/2021/02/24/science/nasa-mars-parachute-code.html,1614195799,space,archive
Wat doen we met het Paleis op de Dam? – De Groene Amsterdammer,https://www.groene.nl/artikel/wat-doen-we-met-het-paleis-op-de-dam,1668263511,climate,unread
http://www.npostart.nl/de-vuilnisman/KN_1718256,http://www.npostart.nl/de-vuilnisman/KN_1718256,1620767099,,unread
https://www.schneier.com/blog/archives/2021/03/illegal-content-and-the-blockchain.html,https://www.schneier.com/blog/archives/2021/03/illegal-content-and-the-blockchain.html,1620138750,,archive
Why AI can’t solve unknown problems – TechTalks,https://bdtechtalks.com/2021/03/29/ai-algorithms-representations-herbert-roitblat/,1617269599,ai|machine learning,archive
https://www.nrc.nl/nieuws/2021/04/02/het-afvoerputje-van-het-internet-zit-in-een-noord-hollands-dorp-a4038329,https://www.nrc.nl/nieuws/2021/04/02/het-afvoerputje-van-het-internet-zit-in-een-noord-hollands-dorp-a4038329,1617737371,internet|security,archive
"Wie nog geen huis bezit, is wellicht voorgoed te laat: ‘We zijn een fuik in",https://www.trouw.nl/economie/wie-nog-geen-huis-bezit-is-wellicht-voorgoed-te-laat-we-zijn-een-fuik-in-gezwommen~b3564d04/?referrer=https%3A%2F%2Ft.co%2F,1618402143,,archive
https://www.nrc.nl/nieuws/2021/04/15/de-implosie-van-amsterdam-a4039797,https://www.nrc.nl/nieuws/2021/04/15/de-implosie-van-amsterdam-a4039797,1618570952,amsterdam|history,archive
Comprehensive Anatomy of All Design Thinking Workshops | UX Collective,https://uxdesign.cc/comprehensive-anatomy-of-all-ux-design-thinking-workshops-c416706cd3e2,1649833198,,archive
https://www.computable.nl/artikel/nieuws/security/7169196/250449/grapperhaus-haalt-woede-cyber-security-raad-om-de-hals.html,https://www.computable.nl/artikel/nieuws/security/7169196/250449/grapperhaus-haalt-woede-cyber-security-raad-om-de-hals.html,1618941051,politics|security,archive
https://taniashoukair.com/why-you-suck-at-innovation,https://taniashoukair.com/why-you-suck-at-innovation,1618843761,,unread
Your Cotton Tote is Pretty Much the Worst Replacement for a Plastic Bag,https://getpocket.com/explore/item/your-cotton-tote-is-pretty-much-the-worst-replacement-for-a-plastic-bag,1619988960,,archive
EU’s AI Regulation: Europe Puts Fundamental Rights and Values Front and Cen,https://allai.nl/eus-ai-regulation-europe-puts-fundamental-rights-and-values-front-and-center/?s=09,1619085179,ai|eu|politics|regulation,archive
https://www.linkedin.com/pulse/systems-design-thinking-responsible-ai-abhishek-gupta,https://www.linkedin.com/pulse/systems-design-thinking-responsible-ai-abhishek-gupta,1619172904,,archive
https://www-wired-com.cdn.ampproject.org/c/s/www.wired.com/story/researcher-says-ai-not-artificial-intelligent/amp,https://www-wired-com.cdn.ampproject.org/c/s/www.wired.com/story/researcher-says-ai-not-artificial-intelligent/amp,1622057744,ai,archive
Developing our new Systemic Design Framework | by Cat Drew | Design Council,https://medium.com/design-council/developing-our-new-systemic-design-framework-e0f74fe118f7,1708001076,,unread
Atlas gemist? Start met kijken op NPO Start,https://www.npostart.nl/atlas/28-04-2021/VPWON_1328184,1620639318,,unread
4 key misunderstandings in AI – TechTalks,https://bdtechtalks.com/2021/05/03/artificial-intelligence-fallacies/,1620639296,ai,archive
"Snellius, de nationale supercomputer - Achtergrond - Tweakers",https://tweakers.net/reviews/8938/snellius-de-nationale-supercomputer-rekenkracht-voor-de-wetenschap.html,1620209769,,archive
The Top 5 Mistakes to Avoid During a Design Sprint | by Parallel | Sprint S,https://sprintstories.com/the-top-5-mistakes-to-avoid-during-a-design-sprint-625b30f9dcdc,1698325300,,unread
Product-design-gets-an-AI-makeover.pdf,https://wp.technologyreview.com/wp-content/uploads/2021/05/Product-design-gets-an-AI-makeover.pdf,1621250528,,unread
https://www.technologyreview.com/2021/05/20/1025135/ai-large-language-models-bigscience-project/,https://www.technologyreview.com/2021/05/20/1025135/ai-large-language-models-bigscience-project/,1621620520,ai,archive
https://www.ftm.nl/artikelen/de-key-loods-6,https://www.ftm.nl/artikelen/de-key-loods-6,1669915631,,archive
Why humans are complicated in a way AI may never understand - Everyday AI I,https://everydai.reaktor.com/humans-complicated-ai?utm_campaign=EverydAI&utm_medium=email&_hsmi=123458016&_hsenc=p2ANqtz--_vvYT-vc8449fuNTM39wmkHTBauBVRmTjBlBrmOTHHMwF48wZeSAN-btDFVr_milWAaqZed4w743ytPHvJVjyfV8HAA&utm_content=123458016&utm_source=hs_email,1623314140,ai,archive
The full guide to Lean UX - Justinmind,https://www.justinmind.com/blog/lean-ux/,1626335595,,unread
Should AI Models Be Explainable? That depends.,https://hai.stanford.edu/news/should-ai-models-be-explainable-depends?utm_source=twitter&utm_medium=social&utm_content=Stanford%20HAI_twitter_StanfordHAI_202107050732_sf147045029&utm_campaign=&sf147045029=1,1636457170,ai,archive
Using the 5-Stage Data Maturity Model for Organizational Impact | by Scott ,https://towardsdatascience.com/using-the-5-stage-data-maturity-model-for-organizational-impact-d398ddd07c4c,1673817305,data driven,archive
gridless.design,https://gridless.design/for-designers,1628601193,,unread
Artificial Intelligence Techniques and the Smart Grid: Towards Smart Meter ,https://research.vu.nl/en/publications/artificial-intelligence-techniques-and-the-smart-grid-towards-sma,1629729738,,unread
https://blog.pragmaticengineer.com/project-management-at-big-tech/,https://blog.pragmaticengineer.com/project-management-at-big-tech/,1632729059,,archive
"UX deliverables are dead — long live collaboration | by Neil Turner | Sep, ",https://uxdesign.cc/ux-deliverables-are-dead-long-live-collaboration-f7d79462bf39,1632898152,,archive
https://boxesandarrows.com/activating-change-a-designers-guide-to-systems-thinking/,https://boxesandarrows.com/activating-change-a-designers-guide-to-systems-thinking/,1635427711,systems thinking,archive
https://direct.mit.edu/isec/article/46/2/51/107693/The-Subversive-Trilemma-Why-Cyber-Operations-Fall,https://direct.mit.edu/isec/article/46/2/51/107693/The-Subversive-Trilemma-Why-Cyber-Operations-Fall,1662068990,,unread
https://www.sketch.com/blog/2021/11/11/how-we-researched-and-tested-collaborative-editing/,https://www.sketch.com/blog/2021/11/11/how-we-researched-and-tested-collaborative-editing/,1637164676,,archive
https://www.filosofieinactie.nl/blog/2021/11/15/data-ethics-as-corporate-social-responsibility,https://www.filosofieinactie.nl/blog/2021/11/15/data-ethics-as-corporate-social-responsibility,1637260748,,unread
Quick-Start Guide - Domain Storytelling,https://domainstorytelling.org/quick-start-guide,1653491139,,archive
AG Connect - Overheid doe stap terug met AI - M v Steenbergen.pdf,https://www.sogeti.nl/sites/sogeti/files/files/AG%20Connect%20-%20Overheid%20doe%20stap%20terug%20met%20AI%20-%20M%20v%20Steenbergen.pdf,1638432773,ai|digital ethics,archive
https://www.linkedin.com/pulse/2021-year-reflection-cecilia-scolaro,https://www.linkedin.com/pulse/2021-year-reflection-cecilia-scolaro,1641386090,collega,archive
Liberal Illusions About NATO Caused the Ukraine Crisis With Russia,https://foreignpolicy.com/2022/01/19/ukraine-russia-nato-crisis-liberal-illusions/,1646062502,politics,archive
Een burn-out of vermoeidheidsklachten: dat maakt een groot verschil - NRC,https://www.nrc.nl/nieuws/2022/01/27/nee-er-is-geen-burnout-epidemie-a4083495,1644251461,,archive
https://www.newyorker.com/culture/cultural-comment/imagine-a-world-without-spotify,https://www.newyorker.com/culture/cultural-comment/imagine-a-world-without-spotify,1671746023,,archive
De software van de SKA-radiotelescoop - De uitdaging van exa - Tweakers,https://tweakers.net/reviews/9804/de-software-van-de-ska-radiotelescoop-exabytes-verwerken.html,1644306192,,archive
https://www.bbc.com/news/uk-60387324,https://www.bbc.com/news/uk-60387324,1647692101,,archive
Why Becoming a Data-Driven Organization Is So Hard,https://hbr.org/2022/02/why-becoming-a-data-driven-organization-is-so-hard,1670860366,,unread
Why Vladimir Putin has already lost this war | Yuval Noah Harari | The Guar,https://www.theguardian.com/commentisfree/2022/feb/28/vladimir-putin-war-russia-ukraine,1646143590,politics,archive
"A Scholar of Stalin Discusses Putin, Russia, Ukraine, and the West | The Ne",https://www-newyorker-com.cdn.ampproject.org/c/s/www.newyorker.com/news/q-and-a/stephen-kotkin-putin-russia-ukraine-stalin/amp,1647272959,politics,archive
https://bluenotes.anz.com/posts/2022/03/anz-news-leadership-kindness-culture-business,https://bluenotes.anz.com/posts/2022/03/anz-news-leadership-kindness-culture-business,1649276814,,archive
https://www.newyorker.com/tech/annals-of-technology/can-computers-learn-common-sense,https://www.newyorker.com/tech/annals-of-technology/can-computers-learn-common-sense,1649452959,ai,archive
Playing with DALL·E 2 - LessWrong,https://www.lesswrong.com/posts/r99tazGiLgzqFX7ka/playing-with-dall-e-2,1650529656,,archive
https://www.technologyreview.com/2022/04/19/1049378/ai-inequality-problem/,https://www.technologyreview.com/2022/04/19/1049378/ai-inequality-problem/,1672962914,ai|digital ethics,archive
https://www.technologyreview.com/2022/04/22/1050394/artificial-intelligence-for-the-people/,https://www.technologyreview.com/2022/04/22/1050394/artificial-intelligence-for-the-people/,1671573823,,unread
You Don’t Need A UI Framework — Smashing Magazine,https://www.smashingmagazine.com/2022/05/you-dont-need-ui-framework/,1653463813,,archive
The Happiest People Aren't the Most Successful - The Atlantic,https://www.theatlantic.com/family/archive/2022/03/chasing-happiness-leads-to-dissatisfaction/629427/?utm_source=pocket_collection_story,1669932592,,archive
Opinie: Maak van de digital twin een stekkerdoos - Stadszaken.nl,https://stadszaken.nl/artikel/4487/opinie-maak-van-de-digital-twin-een-stekkerdoos,1660553225,,archive
https://tweakers.net/reviews/10530/matrix-decentraal-chatprotocol-onverwacht-populair-bij-bedrijven.html,https://tweakers.net/reviews/10530/matrix-decentraal-chatprotocol-onverwacht-populair-bij-bedrijven.html,1664782531,,archive
Hoe onze media de Russische informatieoorlog een handje helpen,https://www.maritderoij.com/2022/10/08/hoe-onze-media-de-russische-informatieoorlog-een-handje-helpen/,1667471263,,archive
Why ‘generative AI’ is suddenly on everyone’s lips: It’s an ‘open field’ | ,https://techcrunch.com/2022/10/28/generative-ai/?guccounter=1,1678785336,,unread
https://www.cbsnews.com/video/the-feedback-loop-of-social-media-60-minutes/,https://www.cbsnews.com/video/the-feedback-loop-of-social-media-60-minutes/,1668076267,,unread
"The user experience of Apocalypse | by Gavrilo Z. | Nov, 2022 | UX Collecti",https://uxdesign.cc/the-user-experience-of-apocalypse-c9614f6914cb,1670428425,,unread
Knowing your impact as a designer | by Amy Rogers | Medium,https://amymrogers.medium.com/showing-your-impact-as-a-designer-2d654370f0ac,1720423359,,archive
https://arxiv.org/pdf/2210.07321.pdf,https://arxiv.org/pdf/2210.07321.pdf,1674508382,,unread
https://www.mckinsey.com/industries/public-and-social-sector/our-insights/accelerating-data-and-analytics-maturity-in-the-us-public-sector,https://www.mckinsey.com/industries/public-and-social-sector/our-insights/accelerating-data-and-analytics-maturity-in-the-us-public-sector,1673816760,data driven|overheid,archive
CO2 afvangen met direct air capture - Tweakers,https://tweakers.net/reviews/10650/co-en-8322-afvangen-en-klimaatdoelen-halen-met-direct-air-capture.html,1692188008,climate,unread
https://fmlab.no/homelab/traefik/,https://fmlab.no/homelab/traefik/,1669330108,,unread
1Password and time-based one-time passwords | 1Password,https://blog.1password.com/totp-and-1password/#totp-isnt-the-same-as-two-factor-security,1669625685,security,archive
Are You the Same Person You Used to Be? | The New Yorker,https://www.newyorker.com/magazine/2022/10/10/are-you-the-same-person-you-used-to-be-life-is-hard-the-origins-of-you?utm_source=pocket_collection_story,1669932625,,archive
⚡ Challenges UX designers face when designing AI experiences | by Steven M.,https://medium.com/aixdesign/challenges-ux-designer-face-when-designing-ai-experiences-7d7a5d73766b,1690376281,ai|ux,unread
https://time.com/6238482/signals-president-meredith-whittaker-interview/,https://time.com/6238482/signals-president-meredith-whittaker-interview/,1670613575,,archive
